Vote,Cheesy Orange Marmalade,Chocolate Bonanza,Christmas Cookie,Double Cheeseburger,Key Lime,Lemon Meringue,Pear Ginger,Potato Pesto Pistachio,Raspberry Brownie Hand Pies,Spinach Leek Quiche,Sweet Mexican Corn
Ballot #1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1
Ballot #2,NA,3,NA,1,NA,NA,NA,NA,2,NA,NA
Ballot #3,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1
Ballot #4,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA
Ballot #5,NA,NA,NA,NA,2,NA,NA,NA,1,NA,3
Ballot #6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1
Ballot #7,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2
Ballot #8,NA,NA,NA,2,NA,NA,NA,NA,3,NA,1
Ballot #9,1,NA,NA,NA,NA,2,NA,NA,NA,3,NA
Ballot #10,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3
